Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
72438-50473-1-2,Shuggie Otis,Inspiration Information,Luaka Bop,"2xLP, Album, RE, RM",,2001,518490,Uncategorized,2025-06-15 10:35:50,,,
MSLP 5003,Jose Madeira And His Orchestra / Carlos Montoya,Havana At 2 A.M.,Masterseal,"LP, Album",,1957,5353903,Uncategorized,2025-06-15 10:44:36,,,
OLE-296-8,Belle & Sebastian,If You're Feeling Sinister,Matador,"LP, Album, RE, 180",,2014,6158352,Uncategorized,2025-06-15 10:11:21,,,
OLE-551-LP,The New Pornographers,Electric Version,Matador,"LP, Album, RE, S/Edition, Opa",,2023,28274428,Uncategorized,2025-06-15 10:13:25,,,
00602567334460,Kacey Musgraves,Golden Hour,MCA Nashville,"LP, Album, Cle",,2018,11960013,Uncategorized,2025-06-15 10:51:18,,,
602458180992,Amy Grant & Vince Gill,When I Think Of Christmas,MCA Nashville,"LP, Comp, Oli",,2024,31814138,Uncategorized,2025-06-15 09:34:49,,,
B0031293-01,Kacey Musgraves,The Kacey Musgraves Christmas Show,MCA Nashville,"LP, Album, Whi",,2020,16012137,Uncategorized,2025-06-15 09:41:51,,,
B0033111-01,Various,Rhythm Country And Blues,"MCA Nashville, UMe","LP, Album, RE",,2021,17664133,Uncategorized,2025-06-15 09:40:17,,,
088 112 937-1,DJ Shadow,The Private Press,MCA Records,"2xLP, Album",,2002,304952,Uncategorized,2025-06-15 10:31:33,,,
MCA 2219,Eumir Deodato,Very Together,MCA Records,"LP, Album",,1976,1205156,Uncategorized,2025-06-15 09:02:47,,,
MCA 335,Conway Twitty & Loretta Lynn,Louisiana Woman-Mississippi Man,MCA Records,"LP, Album, Glo",,1973,991243,Uncategorized,2025-06-15 09:20:50,,,
MCA-15024,Bing Crosby,Merry Christmas,MCA Records,"LP, Album, RE",,1980,4330664,Uncategorized,2025-06-15 09:37:17,,,
MCA-2106,Neil Diamond,His 12 Greatest Hits,MCA Records,"LP, Comp, Glo",,1974,1512399,Uncategorized,2025-06-15 09:33:03,,,
MCA-2202,Jerry Jeff Walker,It's A Good Night For Singin',MCA Records,"LP, Album, RE, Tan",,1977,2021852,Uncategorized,2025-06-15 10:50:21,,,
MCA-300,Loretta Lynn,Entertainer Of The Year - Loretta,MCA Records,"LP, Album, Glo",,1973,2404653,Uncategorized,2025-11-08 09:05:57,,,
MCA-3217,Loretta Lynn,Loretta,MCA Records,"LP, Album, Pin",,1980,15681780,Uncategorized,2025-07-06 10:11:42,,,
MCA-3217,Loretta Lynn,Loretta,MCA Records,"LP, Album, Glo",,1980,3562423,Uncategorized,2025-11-08 09:11:25,,,
MCA-410,Eumir Deodato,Whirlwinds,MCA Records,"LP, Album, Glo",,1974,1153596,Uncategorized,2025-07-06 09:43:54,,,
MCA-471,Loretta Lynn,Back To The Country,MCA Records,"LP, Album",,1975,3318568,Uncategorized,2025-11-08 09:06:06,,,
MCA-5144,Wilton Felder,Inherit The Wind,MCA Records,"LP, Album, Gat",,1980,594434,Uncategorized,2025-06-15 09:06:27,,,
"602478233470-A, 602478233470-B, 602478233470-C, 60",Carter Faith,Cherry Valley,"MCA Records Nashville, MCA Records Nashville, MCA Records Nashville, MCA Records Nashville","LP, Album",,2025,35550985,Uncategorized,2026-04-07 18:04:42,,,
"414 012, 414.012",Tangerine Dream,Sorcerer,"MCA Records, MCA Records","LP, Album",,1977,901735,Uncategorized,2025-06-15 10:50:32,,,
MLPS-610,"Sonny Burnette, Hal Rugg, Weldon Myrick",Steel Guitars Of The Grand Ole Opry,Mega (2),LP,,1975,4155266,Uncategorized,2025-04-27 13:30:39,,,
MRI 769,Metallica,Ride The Lightning,Megaforce Records,"LP, Album",,1984,377464,Uncategorized,2025-06-15 10:16:54,,,
6641 799,Rush,Archives,Mercury,"3xLP, Comp",,1978,1644515,Uncategorized,2025-06-15 10:51:40,,,
9100 039,Rush,2112,Mercury,"LP, Album, Gat",,1976,814617,Uncategorized,2025-06-15 10:51:47,,,
B0018029-01,Kacey Musgraves,Same Trailer Different Park,Mercury,"LP, Album",,2013,4486131,Uncategorized,2025-06-15 09:56:42,,,
IAM066L,Lord Huron,Strange Trails,Mercury,"2xLP, Album, Ltd, RE, 10t",,2025,33668487,Uncategorized,2025-11-06 15:16:41,,,
MG 20065,Xavier Cugat And His Orchestra,Cugat's Favorites,Mercury,"LP, Album, Mono",,1955,2928384,Uncategorized,2025-06-15 10:18:55,,,
MG 20914,The Searchers,Hear! Hear!,Mercury,"LP, Album, Mono",,1964,3626106,Uncategorized,2025-11-08 09:06:39,,,
MG 21051,Smothers Brothers,Mom Always Liked You Best!,Mercury,"LP, Album, Mono, Rim",,1965,1535900,Uncategorized,2025-06-15 10:49:56,,,
PPS 2003,Xavier Cugat And His Orchestra,Viva Cugat!,Mercury,"LP, Album, Mono",,1961,1899931,Uncategorized,2025-06-15 10:50:14,,,
SR 61350,Tom T. Hall,In Search Of A Song,Mercury,"LP, Album, Ter",,1971,3715748,Uncategorized,2025-06-15 09:37:33,,,
SRM-1-1186,Thin Lizzy,Bad Reputation,Mercury,"LP, Album, Ter",,1977,1664012,Uncategorized,2025-11-08 08:58:56,,,
602475434993,The War and Treaty,Plus One,Mercury Nashville,"2xLP, Album",,2025,33137472,Uncategorized,2025-06-15 09:09:58,,,
B0022816-01 ,Kacey Musgraves,Pageant Material,Mercury Nashville,"LP, Album, Pin",,2015,7221618,Uncategorized,2025-06-15 09:56:50,,,
B0036770-01,The War And Treaty,Lover's Game,Mercury Nashville,"LP, Album, Ltd, Cle",,2023,26446040,Uncategorized,2025-06-15 09:34:42,,,
B0025469-01,Kacey Musgraves,A Very Kacey Christmas,"Mercury Nashville, Mercury Records","LP, Album, Gre",,2016,9366411,Uncategorized,2025-06-15 10:57:38,,,
WP-0133,Lord Huron,The Cosmic Selector Vol. 1,Mercury Records,"2xLP, Album, Ltd, Glo",,2025,34573432,Uncategorized,2025-11-08 08:51:51,,,
B0022380-01,Rush,Moving Pictures,"Mercury, Anthem (5), UMe","LP, Album, RE, RM, 180",,2019,13413904,Uncategorized,2025-06-15 10:00:17,,,
"MG 20839, MG-20839",The Three Sounds,Some Like It Modern,"Mercury, Mercury","LP, Album, Mono",,1963,2567070,Uncategorized,2025-06-15 10:14:41,,,
"MG-21011, MG 21011",Quincy Jones And His Orchestra,The Pawnbroker (Explosive Motion Picture Score),"Mercury, Mercury","LP, Album, Mono",,1965,1597026,Uncategorized,2025-06-15 10:05:00,,,
"SRM-1-3781, 9110.119",Bar-Kays,Injoy,"Mercury, Mercury","LP, Album, 72",,1979,949937,Uncategorized,2025-06-15 09:03:02,,,
MRG424,She & Him,A Very She & Him Christmas ,Merge,"LP, Album, Ltd, RE, Gre",,2022,25103467,Uncategorized,2025-06-15 09:38:25,,,
MRG704,Waxahatchee,Saint Cloud,Merge Records,"LP, Album, Ltd, Pur",,2020,20152780,Uncategorized,2025-11-09 16:43:35,,,
E3606,Dick Hyman,Dick Hyman & Harpsichord In HI-FI,MGM Records,"LP, Album, Mono",,1957,8145070,Uncategorized,2025-06-15 09:43:33,,,
"S1E-13 ST, SIE 13 ST",Various,2001: A Space Odyssey (Music From The Motion Picture Sound Track),"MGM Records, MGM Records","LP, Album, Gat",,1968,1893908,Uncategorized,2025-06-15 09:05:16,,,
697-124 123-1,DJ Shadow,Endtroducing.....,"Mo Wax, FFRR","2xLP, Album",,1996,59125,Uncategorized,2025-06-15 10:20:36,,,
"MFSL 1-375, 88697943791",Miles Davis,Sketches Of Spain,"Mobile Fidelity Sound Lab, Columbia","LP, Album, Ltd, Num, RE, RM, S/Edition, 180",,2013,4923105,Uncategorized,2025-06-15 10:20:09,,,
MFSL 1-431,Miles Davis,My Funny Valentine - Miles Davis In Concert,"Mobile Fidelity Sound Lab, Columbia, Sony Music Commercial Music Group","LP, Album, Ltd, Num, RE, RM, S/Edition, 180",,2016,9541042,Uncategorized,2025-06-15 10:19:23,,,
MP382,Alice Merton,Mint,Mom + Pop,"LP, Album, Gre",,2019,13138163,Uncategorized,2025-06-15 09:56:34,,,
"SLP18139, SLP-18139",Kris Kristofferson,Kristofferson,"Monument, Monument","LP, Album, Mon",,1970,2300054,Uncategorized,2025-11-08 09:06:56,,,
537 392-1,Horst Jankowski,Black Forest Explosion!,Motor Music,"LP, Comp",,1997,389132,Uncategorized,2025-06-15 10:16:23,,,
1C 172 - 98 848/49,Marvin Gaye,Marvin Gaye Live At The London Palladium,Motown,"2xLP, Album",,1977,2180184,Uncategorized,2025-06-15 09:03:36,,,
5308ML2,Various,25 #1 Hits From 25 Years,Motown,"2xLP, Comp",,1983,2085833,Uncategorized,2025-06-15 09:28:05,,,
M 636,The Supremes,The Supremes At The Copa,Motown,"LP, Album, Mono, Roc",,1965,826477,Uncategorized,2026-04-07 18:15:42,,,
"MS 682, MS-682",The Supremes With The Temptations,The Original Sound Track From TCB ,"Motown, Motown","LP, Album, Ind",,1968,5098930,Uncategorized,2025-11-08 09:00:14,,,
MRS-5005,Heart,Dreamboat Annie,Mushroom Records (5),"LP, Album, Gat",,1975,6551453,Uncategorized,2025-11-08 08:59:09,,,
MOVLP2811,Various,A Very Cool Christmas 2,Music On Vinyl,"LP, Whi + LP, Gre + Comp, Mono, Ltd, Num, 180",,2020,16277042,Uncategorized,2026-04-07 18:00:23,,,
"9378-1, XSPOON8",Can,Ege Bamyasi,"Mute, Spoon Records","LP, Album, Ltd, RE, RM, RP, Gre",,2019,14397469,Uncategorized,2025-11-08 08:53:26,,,
NR - 4003T1,Various,Motown Show Tunes,Natural Resources,"LP, Comp",,1977,1302442,Uncategorized,2025-06-15 10:13:55,,,
067003181419,Mon Rovîa,Bloodline,Nettwerk Music Group,"LP, Album, Oxb",,2026,36157522,Uncategorized,2026-04-07 18:18:25,,,
MC 8005,Cecil Leuter,Pop Electronique,Neuilly,LP,,0,3009771,Uncategorized,2025-06-15 10:34:59,,,
NW5159,Neko Case,Live From Austin TX,New West Records,"LP, Album, RE",,2017,9776285,Uncategorized,2025-04-27 13:37:37,,,
NW5468,Various,An Americana Christmas,New West Records,"LP, Comp, Red",,2020,20967928,Uncategorized,2025-06-15 09:36:12,,,
075678638039,Lizzo,Special,"Nice Life, Atlantic","LP, Album, Ltd, Alt",,2022,23888087,Uncategorized,2025-06-15 10:58:24,,,
ZEN 52 QP,The Poets Of Rhythm,Discern / Define,Ninja Tune,"2xLP, Album",,2001,155407,Uncategorized,2025-06-15 10:38:50,,,
075597904093,Rhiannon Giddens,You're The One,Nonesuch,"LP, Album, Ltd, Eme",,2023,28041069,Uncategorized,2025-06-15 09:44:39,,,
HG2020,Hermanos Gutiérrez (2),Hijos Del Sol,Not On Label,"LP, Album, RE",,2023,28175809,Uncategorized,2025-06-15 09:08:37,,,
none,Charles Wesley Godwin,How The Mighty Fall,Not On Label,"2xLP, Album, Blu",,2021,21299938,Uncategorized,2025-06-15 09:34:19,,,
NWBC-10,"The Northwest Boy Choir, The Northwest Youth Choir",A Christmas At Chateau Ste. Michelle,Not On Label,"LP, Album",,1986,7672730,Uncategorized,2025-06-15 09:04:46,,,
none,Colby Acuff,If I Were The Devil,Not On Label (Colby Acuff Self-released),LP,,2025,35082605,Uncategorized,2026-04-07 18:21:32,,,
none,Goldford,Space Of The Heart,Not On Label (Goldford Self-released),"LP, MiniAlbum, EP, Clo",,2025,35679322,Uncategorized,2026-01-07 13:04:33,,,
575,Various,Barnyard Beehive,Numero,"LP, Album, Comp, Cle",,2025,33109209,Uncategorized,2025-06-15 09:17:32,,,
058,Various,Wayfaring Strangers: Cosmic American Music,Numero Group,"Comp, RP, Ast + LP, Blu + LP, Red",,2023,25926949,Uncategorized,2025-06-15 09:08:56,,,
158,Various,Cosmic American Music: Motel California,Numero Group,"2xLP, Comp, Neo",,2024,31958855,Uncategorized,2025-06-15 09:41:18,,,
195,Various,Valley Of The Sun: Field Guide To Inner Harmony,Numero Group,"2xLP, Comp, Ora",,2022,23641328,Uncategorized,2026-04-07 18:17:22,,,
510,Various,Beehive Breaks,Numero Group,"LP, Comp, Gre",,2024,30176033,Uncategorized,2025-06-15 09:16:48,,,
656,Jimmy Jules And The Nuclear Soul System With Jackie Spencer,Xmas Done Got Funky,Numero Group,"LP, Album, RE, Cle",,2025,35792755,Uncategorized,2026-04-07 18:01:43,,,
NUM 506,Various,Eccentric Deep Soul,Numero Group,"LP, Album, Comp, Ltd, Cle",,2022,24284600,Uncategorized,2025-06-15 09:33:10,,,
NUM1245,"Joseph Washington, Jr.",Merry Christmas To You From Joseph,Numero Group,"LP, Album, RE, met",,2018,12811997,Uncategorized,2025-06-15 09:36:04,,,
NUM196,24 Carat Black,III,Numero Group,"LP, Album",,2020,15098444,Uncategorized,2025-11-08 09:03:52,,,
"520, NUM520",Various,Eccentric Modern Soul,"Numero Group, Numero Group","LP, Comp, Mar",,2025,34055980,Uncategorized,2025-06-15 09:09:50,,,
OBR-082-LP,Various,My Black Country: The Songs of Alice Randall,Oh Boy Records,"LP, Album, Comp",,2024,30512269,Uncategorized,2025-06-15 09:16:36,,,
"PJ-93, 93",Gil Fuller & The Monterey Jazz Festival Orchestra Featuring Dizzy Gillespie,Gil Fuller & The Monterey Jazz Festival Orchestra Featuring Dizzy Gillespie,"Pacific Jazz, Pacific Jazz","LP, Album, Mono, Res",,1965,2741654,Uncategorized,2025-06-22 12:19:02,,,
19658719671,Beyoncé,Renaissance,"Parkwood Entertainment, Columbia","2xLP, RP, 180 + Box, Album, Col",,2022,26411657,Uncategorized,2026-04-07 18:14:59,,,
19658894921,Beyoncé,Cowboy Carter,"Parkwood Entertainment, Columbia","2xLP, Album + Box",,2024,31070015,Uncategorized,2025-06-15 09:53:46,,,
2564625240,Iron Maiden,The Number Of The Beast,Parlophone,"LP, Album, RE, 180",,2014,6191421,Uncategorized,2025-06-15 10:41:04,,,
5021732549679,AIR,Moon Safari Live & Demos,Parlophone,"LP, Album, RSD, Bioplastic, Ltd, S/Edition, Whi",,2025,33646428,Uncategorized,2025-06-15 09:19:14,,,
RP1 103324,AIR,10 000 Hz Legend,Parlophone,"2xLP, Album, RE, 180",,2015,7119823,Uncategorized,2025-06-15 10:44:43,,,
"DBHDPD 1971, 0190296726804",David Bowie,Hunky Dory,"Parlophone, Parlophone","LP, Album, Ltd, Pic, RE, RM",,2022,21626542,Uncategorized,2025-06-15 10:21:47,,,
"DB69732, 0825646287383, DBXL1 • DB 69732",David Bowie,The Man Who Sold The World,"Parlophone, Parlophone, Parlophone","LP, Album, RE, RM, 180",,2016,8162132,Uncategorized,2025-11-08 08:55:56,,,
"DB69734, DB 69734, 0825646287376, DBXL1",David Bowie,The Rise And Fall Of Ziggy Stardust And The Spiders From Mars,"Parlophone, Parlophone, Parlophone, Parlophone","LP, Album, RE, RM, RP, 180",,2016,8162188,Uncategorized,2025-06-15 10:22:14,,,
FZ 36003,Teddy Pendergrass,Teddy,Philadelphia International Records,"LP, Album",,1979,23545655,Uncategorized,2025-06-14 14:18:02,,,
FZ 36745,Teddy Pendergrass,TP,Philadelphia International Records,"LP, Album, Ter",,1980,20505802,Uncategorized,2025-06-15 09:05:36,,,
FZ 38118,Teddy Pendergrass,This One's For You,Philadelphia International Records,"LP, Album",,1982,1651984,Uncategorized,2025-06-15 09:58:00,,,
KZ 32707,MFSB,Love Is The Message,Philadelphia International Records,"LP, Album",,1973,365838,Uncategorized,2026-04-07 18:15:50,,,
PIR 65859,Harold Melvin And The Blue Notes,Black & Blue,Philadelphia International Records,"LP, Album, Gat",,1973,1081590,Uncategorized,2026-04-07 18:06:33,,,
PZ 33808,Harold Melvin And The Blue Notes,Wake Up Everybody,Philadelphia International Records,"LP, Album, Ter",,1975,179413,Uncategorized,2025-06-15 10:42:45,,,
PZ2 35517,Lou Rawls,Live,Philadelphia International Records,"2xLP, Album, San",,1978,1292202,Uncategorized,2025-07-06 10:17:00,,,
"PZ 34390, 34390",Teddy Pendergrass,Teddy Pendergrass,"Philadelphia International Records, Philadelphia International Records","LP, Album, San",,1977,176583,Uncategorized,2025-06-15 09:05:26,,,
90187-1,Harold Melvin And The Blue Notes,Talk It Up (Tell Everybody),Philly World Records,"LP, Album",,1984,1816467,Uncategorized,2025-06-15 09:06:05,,,
CAS-2440,Elvis Presley,Almost In Love,Pickwick,"LP, Comp, RE",,1975,10762508,Uncategorized,2025-11-08 09:01:22,,,
DL2-5001,Elvis Presley,Double Dynamite!,Pickwick,"2xLP, Comp",,1975,1402202,Uncategorized,2025-06-15 09:43:12,,,
JS 6097,Johnny Cash,I Walk The Line,Pickwick,"LP, Comp",,0,2141987,Uncategorized,2025-06-15 10:07:46,,,
SPC 1012,Various,Country Christmas,Pickwick,"LP, Album, Comp",,0,1624479,Uncategorized,2025-06-15 09:58:07,,,
SPC-3653,Lou Rawls,You've Made Me So Very Happy,Pickwick,"LP, Album, RE",,1979,1943953,Uncategorized,2025-06-15 08:55:34,,,
ACL-7007,Elvis Presley,Frankie And Johnny,"Pickwick, Camden","LP, RE",,1975,15397312,Uncategorized,2025-06-15 09:09:03,,,
CAS-2518,Elvis Presley,C'mon Everybody,"Pickwick, Camden","LP, Album, Comp, Mono, RE",,1975,9145455,Uncategorized,2025-07-18 10:09:10,,,
"PFRLP11, 88875184281",Pink Floyd,The Wall,"Pink Floyd Records, Pink Floyd Records","2xLP, Album, RE, RM, 180",,2016,8957729,Uncategorized,2025-06-15 10:01:15,,,
PF11LP,Wire,Pink Flag,Pinkflag,"LP, Album, RE, Bio",,0,33905034,Uncategorized,2025-11-08 08:54:25,,,
PL 005,Various,Phase 6 Super Stereo - Introducing The Alternative Italian B-Movie Soundtrack,Plastic Records,"2xLP, Comp, Gat",,1998,1292894,Uncategorized,2025-06-15 10:27:46,,,
pl015,Various,Kaleidoscopica,Plastic Records,"LP, Comp, RM",,2000,1261621,Uncategorized,2025-06-15 10:14:19,,,
"PL 014, pl014",I Marc 4,I Solisti Di Armando Trovajoli,"Plastic Records, Plastic Records","LP, RE",,2000,1450279,Uncategorized,2025-06-15 10:33:41,,,
"PD 5022, 2391 027",Roy Ayers Ubiquity,He's Coming,"Polydor, Polydor","LP, Album, Gat",,1972,499479,Uncategorized,2025-06-15 10:23:20,,,
817 846-1,Spinal Tap,This Is Spinal Tap,"Polydor, Polymer","LP, Album, Gat",,1984,1933431,Uncategorized,2025-06-15 10:52:07,,,
00602478840210,Florence And The Machine,Everybody Scream,"Polydor, Republic Records","2xLP, Album, S/Edition, Glo",,2025,35528917,Uncategorized,2025-11-06 15:17:01,,,
PS 9065,Various,Soul,Premier Albums,"LP, Comp",,0,5317319,Uncategorized,2025-06-15 09:10:18,,,
PR 7414,Bobby Timmons,Holiday Soul,Prestige,"LP, Album, RE",,2016,8983967,Uncategorized,2025-06-15 10:55:58,,,
"PR 7814, PRST 7814",Brother Jack McDuff,Tough 'Duff,"Prestige, Prestige","LP, Album, RE",,1971,2169485,Uncategorized,2025-06-15 10:16:45,,,
"PRST 7493, 7493","Richard ""Groove"" Holmes",Spicy,"Prestige, Prestige","LP, Album",,1967,3086416,Uncategorized,2025-06-15 10:33:22,,,
"PRST-10041, PR 10041",Charles Earland,Intensity,"Prestige, Prestige","LP, Album, Roc",,1972,1479409,Uncategorized,2025-06-15 10:52:37,,,
"PRD-0028, PRD 0028",The Incredible Bongo Band,Bongo Rock,"Pride, Pride","LP, Album, RE",,2009,4401952,Uncategorized,2025-06-15 10:33:57,,,
"PS2019, PS 2019",David Soul,David Soul,"Private Stock, Private Stock","LP, Album, Ter",,1976,1991927,Uncategorized,2025-06-15 10:43:01,,,
QS44LP,June Of 44,Tropics And Meridians,Quarterstick Records,"LP, Album",,1996,1409836,Uncategorized,2025-06-15 10:34:52,,,
"Qs38, QS38",Rachel's,The Sea And The Bells,"Quarterstick Records, Quarterstick Records","2xLP, Album",,1996,753928,Uncategorized,2025-11-08 08:57:52,,,
QRLP21,Various,Midnight Cowboy (Original Motion Picture Score),Quartet Records,"LP, Album, Ltd, RE",,2021,20101264,Uncategorized,2025-06-15 10:12:27,,,
"0-394-05008-8, 0394050088",Dr. Seuss,How The Grinch Stole Christmas,"Random House (2), Random House (2)","LP, Album, Gre",,1975,2667826,Uncategorized,2025-06-15 10:55:08,,,
6250-1-R,Elvis Presley,The Complete Sun Sessions,RCA,"LP, Comp",,1987,5319791,Uncategorized,2025-06-15 10:09:57,,,
88843-00068-1,Kelly Clarkson,Wrapped In Red,RCA,"LP, Album, Red",,2013,5128111,Uncategorized,2025-06-15 09:34:57,,,
88985-39163-1,Muna,About U,RCA,"2xLP, Album, RP, Pin",,2023,26881832,Uncategorized,2025-06-15 10:02:50,,,
ANL1-1928,Henry Mancini And His Orchestra And Chorus,A Merry Mancini Christmas,RCA,"LP, Album, RE",,1976,3355770,Uncategorized,2025-06-15 09:36:45,,,
